Model,Accuracy,Precision,Recall,F1,AUC,Training_Time_seconds
Logistic Regression,0.783226723525231,0.5827338129496403,0.6497326203208557,0.6144121365360303,0.8317099875240073,0.013432979583740234
Gradient Boosting,0.7711442786069652,0.5590909090909091,0.6577540106951871,0.6044226044226044,0.8262290923585838,1.8660202026367188
XGBoost,0.7569296375266524,0.5388349514563107,0.5935828877005348,0.5648854961832062,0.8190308069016572,0.10023093223571777
Random Forest,0.7739872068230277,0.5693069306930693,0.6149732620320856,0.5912596401028277,0.8134075508228461,0.19388389587402344
